Region,Year,Crop Name,Harvested Acres,Yield,Production,Price P/U,Value
Fresno,1980.0,ALMONDS ALL,23992.0,0.59,14200.0,3000.0,42600000.0
Fresno,1980.0,TOMATOES PROCESSING,34880.0,30.5,1064000.0,48.0,50753000.0
Fresno,1981.0,ALMONDS ALL,23820.0,0.75,17900.0,1500.0,26850000.0
Fresno,1981.0,TOMATOES PROCESSING,36640.0,28.6,1048000.0,51.0,53238000.0
Fresno,1982.0,ALMONDS ALL,23642.0,0.69,16300.0,1800.0,29340000.0
Fresno,1982.0,TOMATOES PROCESSING,54370.0,31.89,1734000.0,56.0,96410000.0
Fresno,1983.0,ALMONDS ALL,24301.0,0.48,11700.0,2300.0,26910000.0
Fresno,1983.0,TOMATOES PROCESSING,60500.0,29.7,1797000.0,54.0,96499000.0
Fresno,1984.0,ALMONDS ALL,26300.0,0.94,24700.0,1800.0,44460000.0
Fresno,1984.0,TOMATOES PROCESSING,65800.0,31.31,2060000.0,52.0,107120000.0
Fresno,1985.0,ALMONDS ALL,31156.0,0.6,18700.0,1300.0,24310000.0
Fresno,1985.0,TOMATOES PROCESSING,60600.0,31.5,1909000.0,51.0,98123000.0
Fresno,1986.0,ALMONDS ALL,30685.0,0.4,12300.0,4000.0,49200000.0
Fresno,1986.0,TOMATOES PROCESSING,62800.0,32.4,2035000.0,51.0,103785000.0
Fresno,1987.0,ALMONDS ALL,30648.0,0.96,29400.0,2000.0,58800000.0
Fresno,1987.0,TOMATOES PROCESSING,64900.0,33.41,2168000.0,47.0,102763000.0
Fresno,1988.0,ALMONDS ALL,30667.0,0.94,28800.0,2000.0,57600000.0
Fresno,1988.0,TOMATOES PROCESSING,64800.0,33.19,2151000.0,48.0,103248000.0
Fresno,1989.0,ALMONDS ALL,30375.0,0.73,22200.0,2200.0,48840000.0
Fresno,1989.0,TOMATOES PROCESSING,72400.0,35.0,2534000.0,55.0,139370000.0
Fresno,1990.0,ALMONDS ALL,29367.0,0.93,27300.0,1800.0,49140000.0
Fresno,1990.0,TOMATOES PROCESSING,104000.0,35.5,3692000.0,52.0,191984000.0
Fresno,1991.0,ALMONDS ALL,25783.0,0.76,19600.0,2300.0,45080000.0
Fresno,1991.0,TOMATOES PROCESSING,107000.0,30.78,3293000.0,52.0,172224000.0
Fresno,1992.0,ALMONDS ALL,26706.0,0.82,21900.0,2540.0,55626000.0
Fresno,1992.0,TOMATOES PROCESSING,87000.0,35.21,3063000.0,46.0,140898000.0
Fresno,1993.0,ALMONDS ALL,36503.0,0.65,23700.0,3840.0,91008000.0
Fresno,1993.0,TOMATOES PROCESSING,96000.0,35.79,3436000.0,47.0,161492000.0
Fresno,1994.0,ALMONDS ALL,42016.0,0.92,38700.0,2640.0,102168000.0
Fresno,1994.0,TOMATOES PROCESSING,100000.0,41.59,4159000.0,51.0,212109000.0
Fresno,1995.0,ALMONDS ALL,41568.0,0.55,22900.0,4800.0,109920000.0
Fresno,1995.0,TOMATOES PROCESSING,100000.0,38.67,3867000.0,54.0,208818000.0
Fresno,1996.0,ALMONDS ALL,43771.0,0.71,31100.0,4160.0,129376000.0
Fresno,1996.0,TOMATOES PROCESSING,99000.0,39.8,3940000.0,52.0,204880000.0
Fresno,1997.0,ALMONDS ALL,45529.0,1.19,54200.0,3400.0,184280000.0
Fresno,1997.0,TOMATOES PROCESSING,95000.0,39.15,3719000.0,51.0,189669000.0
Fresno,1998.0,ALMONDS ALL,46968.0,0.76,35700.0,3360.0,119952000.0
Fresno,1998.0,TOMATOES PROCESSING,100000.0,35.77,3577000.0,53.0,189581000.0
