Frozen Food Manufacturing PPI,Timeframe,Dried and dehydrated Food Manufacturing PPI,Seafood Production and Packaging PPI,Snack Food Manufacturing PPI,Perishable Food Manufacturing PPI,Food and Beverages Retailers PPI,Food and Beverages CPI (target)
203.627,2024-09-01,296.295,190.582,196.263,147.289,262.941,329.102
203.344,2024-08-01,295.548,188.611,195.877,151.2,265.056,327.849
202.018,2024-07-01,299.824,187.98,193.219,153.872,266.028,327.488
203.023,2024-06-01,300.106,186.13,193.181,152.267,271.505,326.94
203.539,2024-05-01,299.563,186.005,193.419,150.8,273.049,326.153
202.809,2024-04-01,297.136,187.405,193.618,152.175,270.451,325.706
203.198,2024-03-01,297.296,188.351,198.729,147.744,270.855,325.645
203.333,2024-02-01,300.72,186.85,189.814,147.029,266.638,325.318
202.602,2024-01-01,309.399,185.63,186.796,146.584,269.453,325.265
202.95,2023-12-01,304.18,185.193,186.384,146.829,263.27,324.029
202.545,2023-11-01,303.183,186.56,186.026,146.691,265.084,323.376
201.922,2023-10-01,306.049,186.029,186.572,146.329,265.828,322.872
201.611,2023-09-01,303.185,188.36,186.571,148.566,264.88,321.918
202.162,2023-08-01,303.07,188.589,187.79,147.115,263.884,321.243
202.078,2023-07-01,304.058,190.989,188.298,146.135,258.844,320.514
202.21,2023-06-01,303.279,190.528,187.051,150.216,262.607,319.895
203.015,2023-05-01,302.689,189.212,186.748,151.471,259.302,319.395
200.519,2023-04-01,294.723,191.249,178.659,145.554,259.729,318.648
200.052,2023-03-01,293.786,191.783,178.277,145.568,259.403,318.489
199.217,2023-02-01,297.813,191.278,175.657,148.964,256.384,318.158
199.095,2023-01-01,295.961,191.365,174.308,162.657,254.386,317.188
198.308,2022-12-01,283.146,191.667,175.777,168.669,249.837,315.454
197.614,2022-11-01,283.042,192.666,176.523,165.346,253.625,314.135
195.663,2022-10-01,283.89,193.466,174.579,155.825,254.564,312.512
196.469,2022-09-01,278.472,193.022,173.228,144.173,244.715,310.405
190.226,2022-08-01,272.195,191.753,172.328,141.598,240.73,308.277
189.435,2022-07-01,271.012,193.994,172.145,139.893,236.77,305.811
186.633,2022-06-01,269.909,191.999,172.475,139.86,240.419,302.727
185.694,2022-05-01,269.63,191.618,166.858,139.394,232.747,299.662
