,year,month,CPI,date,rate_of_change
235,2005,1,189.1,2005-01-01,0.0
234,2005,2,189.2,2005-02-01,0.026434047052602255
233,2005,3,189.6,2005-03-01,0.10559662090813245
232,2005,4,190.8,2005-04-01,0.31545741324921583
231,2005,5,191.0,2005-05-01,0.052383446830798486
230,2005,6,191.0,2005-06-01,0.0
229,2005,7,191.4,2005-07-01,0.10460251046025254
228,2005,8,191.5,2005-08-01,0.02611647949856211
227,2005,9,191.9,2005-09-01,0.10432968179447201
226,2005,10,192.4,2005-10-01,0.13010668748373666
225,2005,11,193.0,2005-11-01,0.1556824078879072
224,2005,12,193.3,2005-12-01,0.07765984985762656
223,2006,1,194.1,2006-01-01,0.2065049044914773
222,2006,2,194.2,2006-02-01,0.025753283543650356
221,2006,3,194.4,2006-03-01,0.051466803911481486
220,2006,4,194.3,2006-04-01,-0.025726781579622923
219,2006,5,194.7,2006-05-01,0.10282776349613812
218,2006,6,195.3,2006-06-01,0.15384615384615968
217,2006,7,195.7,2006-07-01,0.1023017902813241
216,2006,8,196.2,2006-08-01,0.12758356723653994
215,2006,9,196.8,2006-09-01,0.15267175572519662
214,2006,10,197.4,2006-10-01,0.15220700152206856
213,2006,11,197.4,2006-11-01,0.0
212,2006,12,197.5,2006-12-01,0.025322866548491852
211,2007,1,198.813,2007-01-01,0.331303792709295
210,2007,2,200.126,2007-02-01,0.3291229987541997
209,2007,3,200.853,2007-03-01,0.18130625294591582
208,2007,4,201.392,2007-04-01,0.1339979365809363
207,2007,5,202.157,2007-05-01,0.1895680574106279
206,2007,6,202.977,2007-06-01,0.20240216817151688
205,2007,7,203.64,2007-07-01,0.1630527006986876
204,2007,8,204.418,2007-08-01,0.19065917100020585
203,2007,9,205.347,2007-09-01,0.22671531243517676
202,2007,10,205.988,2007-10-01,0.15583405253625174
201,2007,11,206.789,2007-11-01,0.1940515096529089
200,2007,12,207.141,2007-12-01,0.08503853308530522
199,2008,1,208.392,2008-01-01,0.3010591216582088
198,2008,2,209.183,2008-02-01,0.18942704903310706
197,2008,3,209.595,2008-03-01,0.0983814813576659
196,2008,4,211.368,2008-04-01,0.421177158087527
195,2008,5,212.204,2008-05-01,0.1973690423351904
194,2008,6,213.452,2008-06-01,0.2931945044824907
193,2008,7,215.449,2008-07-01,0.46560861364277867
192,2008,8,216.53,2008-08-01,0.25024364610316446
191,2008,9,217.749,2008-09-01,0.28069512916811407
190,2008,10,218.632,2008-10-01,0.20234611497751043
189,2008,11,219.079,2008-11-01,0.10212217650458927
188,2008,12,219.151,2008-12-01,0.016429728681286705
187,2009,1,219.323,2009-01-01,0.03922695530407665
186,2009,2,219.058,2009-02-01,-0.06044970014667944
185,2009,3,218.682,2009-03-01,-0.08589573719559665
184,2009,4,218.372,2009-04-01,-0.0709294503653951
183,2009,5,218.053,2009-05-01,-0.07309388783869321
182,2009,6,218.092,2009-06-01,0.008941980304718773
