Timeframe,DAIRY PRODUCT TOTALS,"FIELD CROPS, OTHER",FOOD FISH,FRUIT & TREE NUT TOTALS,HORTICULTURE TOTALS,LIVESTOCK TOTALS,POULTRY TOTALS,VEGETABLE TOTALS
2005-01-01,79.9,85.8,,66.4,,79.9,81.6,59.1
2005-02-01,76.5,85.8,,71.2,,79.0,80.2,74.8
2005-03-01,77.0,85.8,,67.4,,78.3,81.4,104.8
2005-04-01,75.5,85.8,,62.4,,80.9,81.1,115.5
2005-05-01,73.0,85.8,,69.7,,80.7,81.9,85.8
2005-06-01,71.5,85.8,,79.4,,76.2,82.0,88.0
2005-07-01,73.5,85.8,,80.7,,74.3,83.9,71.4
2005-08-01,73.5,85.8,,87.2,,74.8,83.1,75.2
2005-09-01,76.0,86.6,,89.3,,76.3,89.5,80.9
2005-10-01,77.0,86.6,,87.6,,78.4,83.2,72.1
2005-11-01,75.0,86.6,,85.0,,77.8,85.0,72.3
2005-12-01,73.5,86.6,,75.1,,80.0,77.7,97.0
2006-01-01,71.5,88.3,,76.0,,80.5,73.0,81.4
2006-02-01,67.0,88.3,,83.8,,79.4,68.3,73.2
2006-03-01,62.6,88.3,,79.6,,76.1,71.0,84.8
2006-04-01,59.6,88.3,,77.9,,73.8,65.4,96.0
2006-05-01,59.1,88.3,,81.8,,73.9,66.1,99.1
2006-06-01,59.1,88.3,,106.2,,76.8,73.2,83.6
2006-07-01,58.1,88.2,,101.2,,77.0,74.2,75.7
2006-08-01,59.6,88.2,,97.6,,78.8,78.7,97.0
2006-09-01,64.6,88.3,,103.7,,79.5,78.9,101.6
2006-10-01,67.0,88.5,,102.4,,77.9,78.5,78.6
2006-11-01,69.0,88.5,,99.9,,74.5,84.9,75.6
2006-12-01,70.5,88.5,,96.2,,72.2,79.4,95.4
2007-01-01,72.0,89.8,,94.2,,72.5,83.6,113.0
2007-02-01,74.0,89.8,,96.6,,75.6,88.5,105.1
2007-03-01,77.5,89.8,,91.5,,78.3,91.4,122.6
2007-04-01,81.9,89.8,,88.9,,80.9,91.5,115.3
2007-05-01,89.4,89.8,,91.1,,82.0,94.6,91.8
2007-06-01,100.3,89.8,,90.8,,79.8,93.4,84.5
2007-07-01,107.3,90.3,,87.6,,79.3,98.9,80.0
2007-08-01,107.3,90.3,,91.6,,81.0,96.3,93.3
2007-09-01,108.2,90.0,,96.8,,80.2,99.4,99.0
2007-10-01,106.3,89.9,,105.3,,78.2,89.8,125.0
2007-11-01,108.7,89.9,,107.8,,76.3,98.5,88.6
2007-12-01,106.8,89.9,,93.8,,74.9,96.9,88.1
2008-01-01,101.8,93.0,,91.2,,73.6,99.3,87.8
2008-02-01,94.8,93.0,,89.9,,76.1,103.5,75.4
2008-03-01,89.9,93.0,,89.3,,74.3,105.9,85.8
2008-04-01,89.9,93.0,,82.2,,75.2,99.0,103.1
2008-05-01,91.4,93.0,,91.6,,81.6,99.6,98.1
2008-06-01,95.8,93.0,,90.4,,81.4,103.2,97.2
2008-07-01,96.3,93.1,,91.3,,83.5,102.7,91.1
2008-08-01,91.4,93.1,,91.6,,86.1,100.8,91.8
2008-09-01,90.4,93.8,,95.6,,82.1,99.4,111.2
2008-10-01,88.4,93.8,,93.0,,76.6,99.4,113.9
2008-11-01,84.9,93.8,,87.7,,72.4,99.7,98.8
2008-12-01,77.0,93.8,,75.8,,68.8,99.1,96.1
2009-01-01,66.0,93.8,,72.6,,69.9,99.9,110.4
2009-02-01,57.6,93.8,,73.1,,69.4,94.1,88.4
2009-03-01,58.1,93.8,,73.7,,69.4,91.5,96.0
2009-04-01,59.1,93.8,,73.5,,72.8,93.9,112.0
2009-05-01,57.6,93.8,,80.6,,72.6,95.1,90.1
2009-06-01,56.1,93.8,,87.3,,70.1,98.0,98.6
2009-07-01,56.1,93.7,,88.8,,70.6,96.9,86.2
2009-08-01,60.1,93.7,,87.4,,68.9,88.6,89.2
2009-09-01,64.6,94.2,,94.6,,68.2,86.1,85.9
2009-10-01,71.0,94.8,,97.3,,68.1,85.1,106.6
2009-11-01,76.5,94.8,,93.8,,69.2,91.4,137.6
2009-12-01,81.9,94.8,,84.0,,69.3,95.2,132.7
2010-01-01,79.9,94.7,,80.6,,72.8,100.5,94.5
2010-02-01,78.5,94.7,,85.8,,75.1,98.3,93.9
2010-03-01,73.5,94.7,,86.1,,79.2,107.6,133.8
2010-04-01,72.5,94.7,,78.6,,84.5,97.5,120.9
2010-05-01,74.5,94.7,,85.3,,86.1,100.1,109.3
