date,Unnamed: 0,year,month,CPI,rate_of_change,ANIMAL TOTALS,CROP TOTALS,"American processed cheese, per lb. (453.6 gm)","Apples, Red Delicious, per lb. (453.6 gm)","Bananas, per lb. (453.6 gm)","Broccoli, per lb. (453.6 gm)","Butter, salted, grade AA, stick, per lb. (453.6 gm)","Cabbage, per lb. (453.6 gm)","Carrots, short trimmed and topped, per lb. (453.6 gm)","Celery, per lb. (453.6 gm)","Cheddar cheese, natural, per lb. (453.6 gm)","Cherries, per lb. (453.6 gm)","Chicken breast, bone-in, per lb. (453.6 gm)","Chicken legs, bone-in, per lb. (453.6 gm)","Chicken, fresh, whole, per lb. (453.6 gm)","Eggs, grade A, large, per doz.","Grapefruit, per lb. (453.6 gm)","Grapes, Thompson Seedless, per lb. (453.6 gm)","Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)","Lemons, per lb. (453.6 gm)","Lettuce, iceberg, per lb. (453.6 gm)","Milk, fresh, whole, fortified, per gal. (3.8 lit)","Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)","Oranges, Navel, per lb. (453.6 gm)","Oranges, Valencia, per lb. (453.6 gm)","Peaches, per lb. (453.6 gm)","Pears, Anjou, per lb. (453.6 gm)","Peppers, sweet, per lb. (453.6 gm)","Potatoes, white, per lb. (453.6 gm)","Strawberries, dry pint, per 12 oz. (340.2 gm)","Tomatoes, field grown, per lb. (453.6 gm)","Tuna, light, chunk, per lb. (453.6 gm)","Turkey, frozen, whole, per lb. (453.6 gm)",Food and beverages purchased for off-premises consumption,Food services and accommodations
2005-01-01,235,2005,1,189.1,0.0,80.2,57.5,3.876,0.966,0.485,1.235,3.513,,,,4.21,,,1.293,1.026,1.211,0.975,2.706,3.873,1.143,0.817,3.304,1.872,0.838,,,1.144,,0.458,3.234,1.66,1.836,1.058,653299.0,515964.0
2005-02-01,234,2005,2,189.2,0.0264340470526022,78.7,59.6,3.873,0.974,0.502,1.346,3.525,,,,4.382,,,1.347,1.038,1.284,0.986,1.883,3.79,1.334,0.73,3.176,1.835,0.802,,1.757,1.101,,0.448,2.346,1.428,1.806,1.063,655408.0,523076.0
2005-03-01,233,2005,3,189.6,0.1055966209081324,78.7,64.7,3.843,0.92,0.507,1.318,3.456,,,,4.354,,,1.291,1.061,1.132,0.959,1.514,3.654,1.307,0.829,3.226,1.846,0.783,,1.774,1.102,,0.44,1.877,1.548,1.789,1.061,656803.0,521829.0
2005-04-01,232,2005,4,190.8,0.3154574132492158,79.6,67.4,3.84,0.869,0.503,1.489,3.404,,,,4.449,,,1.322,1.07,1.164,0.983,1.869,3.772,1.35,1.004,3.225,1.918,0.816,,,1.156,,0.45,1.526,1.71,1.889,1.058,664153.0,528354.0
2005-05-01,231,2005,5,191.0,0.0523834468307984,79.0,65.1,3.776,0.915,0.497,1.299,3.409,,,,4.414,,,1.299,1.052,1.185,1.039,2.506,3.948,1.405,0.926,3.207,1.84,0.899,,,1.183,,0.452,1.727,1.911,1.932,1.069,661961.0,529066.0
2005-06-01,230,2005,6,191.0,0.0,76.5,66.6,3.829,0.974,0.493,1.307,3.107,,,,4.44,,,1.357,1.075,1.139,1.147,1.894,3.619,1.455,0.895,3.122,1.809,1.012,,1.601,1.057,,0.455,1.763,1.655,,1.08,666686.0,533154.0
2005-07-01,229,2005,7,191.4,0.1046025104602525,76.5,64.5,3.895,0.965,0.494,1.442,3.14,,,,4.377,,,1.311,1.067,1.165,1.203,1.929,3.773,1.481,0.885,3.09,1.834,,0.912,1.364,1.116,,0.477,1.808,1.607,,1.068,666327.0,534885.0
2005-08-01,228,2005,8,191.5,0.0261164794985621,76.4,64.7,3.926,0.977,0.487,1.32,3.206,,,,4.384,,,1.315,1.042,1.166,1.202,1.701,3.796,1.537,0.855,3.136,1.852,,0.892,1.454,,,0.491,1.807,1.416,,1.063,670770.0,536289.0
2005-09-01,227,2005,9,191.9,0.104329681794472,79.3,62.3,3.948,0.967,0.485,1.352,3.321,,,,4.321,,,1.35,1.056,1.279,1.208,1.662,3.784,1.485,0.848,3.133,1.782,1.363,0.88,1.553,,,0.482,2.146,1.429,,1.121,675462.0,538153.0
2005-10-01,226,2005,10,192.4,0.1301066874837366,79.2,58.2,3.903,0.94,0.491,1.196,3.186,,,,4.385,,,1.336,1.062,1.264,,2.022,3.705,1.465,0.926,3.171,1.806,1.388,0.904,,,1.927,0.505,2.188,1.547,,1.137,680981.0,541910.0
2005-11-01,225,2005,11,193.0,0.1556824078879072,78.8,58.9,3.945,0.955,0.48,1.288,3.13,,,,4.429,,,1.373,1.059,1.279,1.183,2.497,3.514,1.459,0.873,3.211,1.784,1.172,,,1.171,,0.499,2.244,1.574,,1.023,682274.0,550292.0
2005-12-01,224,2005,12,193.3,0.0776598498576265,77.8,61.9,3.915,0.971,0.482,1.229,2.98,,,,4.433,,,1.326,1.061,1.35,1.095,2.757,3.691,1.509,0.854,3.241,1.78,0.885,,,0.998,,0.498,2.666,1.848,,1.066,684469.0,550618.0
2006-01-01,223,2006,1,194.1,0.2065049044914773,76.9,60.6,3.938,0.963,0.49,1.355,3.13,,,,4.443,,,1.295,1.062,1.449,1.081,2.59,3.703,1.435,0.874,3.197,1.853,0.837,,,1.009,,0.504,2.411,2.162,,1.069,684928.0,565088.0
2006-02-01,222,2006,2,194.2,0.0257532835436503,74.1,62.9,3.886,0.977,0.508,1.493,3.073,,,,4.314,,2.068,1.27,1.045,1.328,1.086,2.015,3.766,1.399,0.794,3.224,1.87,0.915,,1.963,1.077,,0.517,1.981,1.91,,1.197,691877.0,557894.0
2006-03-01,221,2006,3,194.4,0.0514668039114814,71.6,65.0,3.836,0.935,0.508,1.358,3.08,,,,4.365,,,1.29,1.047,1.302,1.052,1.864,3.782,1.419,0.815,3.161,1.895,0.888,,2.049,1.052,,0.517,1.817,1.649,,1.209,689719.0,562352.0
2006-04-01,220,2006,4,194.3,-0.0257267815796229,68.3,68.1,3.814,0.958,0.508,1.367,2.794,,,,4.379,,,1.253,1.054,1.283,1.029,1.757,3.622,1.384,0.869,3.123,1.911,0.876,,,1.089,,0.522,1.708,1.573,,1.111,692835.0,563501.0
2006-05-01,219,2006,5,194.7,0.1028277634961381,68.3,71.2,3.701,1.021,0.514,1.373,2.966,,,,4.284,,2.053,1.231,1.034,1.206,1.091,2.395,3.674,1.451,0.967,3.066,1.912,0.99,,,1.163,1.638,0.533,1.734,1.543,,1.084,697154.0,564286.0
2006-06-01,218,2006,6,195.3,0.1538461538461596,71.5,71.5,3.526,1.053,0.511,1.432,2.896,,,,4.234,,2.057,1.183,1.055,1.242,1.128,2.478,3.861,1.441,0.848,3.001,1.886,1.119,,1.609,1.213,1.695,0.541,1.65,1.457,,1.128,696835.0,564675.0
2006-07-01,217,2006,7,195.7,0.1023017902813241,72.0,70.1,3.581,1.146,0.508,1.511,2.794,,,,4.315,,2.134,1.205,1.04,1.213,1.168,2.534,3.627,1.438,0.783,3.083,1.94,1.27,0.931,1.388,,1.768,0.556,1.759,1.479,,1.13,699727.0,564909.0
2006-08-01,216,2006,8,196.2,0.1275835672365399,74.6,71.1,3.654,1.235,0.492,1.521,2.814,0.561,,,4.261,,2.188,1.228,1.048,1.244,1.197,1.821,3.602,1.54,0.864,3.019,1.989,,0.995,1.326,,1.713,0.572,1.804,1.488,,1.106,703380.0,571554.0
2006-09-01,215,2006,9,196.8,0.1526717557251966,76.0,68.8,3.756,1.256,0.479,1.689,2.776,0.6,,,4.215,,2.094,1.242,1.063,1.254,1.228,1.846,3.717,1.65,0.953,3.049,2.013,1.483,1.077,1.485,,1.71,0.563,2.019,1.908,,1.151,702119.0,577745.0
2006-10-01,214,2006,10,197.4,0.1522070015220685,75.8,64.6,3.63,1.138,0.489,1.409,2.981,0.585,,,4.245,,2.148,1.222,1.038,1.257,1.235,2.23,3.855,1.775,0.873,3.064,2.015,1.423,,,,2.08,0.545,2.405,2.188,,1.149,712468.0,578728.0
2006-11-01,213,2006,11,197.4,0.0,75.7,69.7,3.712,1.089,0.498,1.389,2.866,0.595,,,3.988,,2.218,1.21,1.049,1.354,1.099,2.536,3.875,1.754,0.85,2.985,2.16,1.2,,,1.224,1.955,0.517,2.312,1.784,,0.973,712369.0,582005.0
2006-12-01,212,2006,12,197.5,0.0253228665484918,73.6,72.6,3.605,1.027,0.499,1.46,2.892,0.603,,,4.015,,2.174,1.233,1.057,1.543,0.974,2.891,3.901,1.662,0.896,3.004,2.232,0.958,,,1.238,1.89,0.517,2.899,1.639,,0.991,719713.0,594462.0
2007-01-01,211,2007,1,198.813,0.331303792709295,74.8,74.7,3.771,1.034,0.505,1.828,3.002,0.61,,,4.059,,2.135,1.222,1.033,1.549,0.94,2.591,4.032,1.71,0.926,3.067,2.314,1.092,,,1.24,1.905,0.517,2.539,1.621,,1.103,722608.0,588296.0
2007-02-01,210,2007,2,200.126,0.3291229987541997,78.1,78.5,3.705,1.072,0.507,1.72,3.006,0.665,,1.283,4.013,,2.268,1.266,1.039,1.746,0.901,1.989,4.019,1.948,0.92,3.083,2.414,1.375,,1.685,1.232,2.119,0.514,2.609,1.644,,1.136,725603.0,584693.0
2007-03-01,209,2007,3,200.853,0.1813062529459158,81.1,80.9,3.769,1.068,0.51,1.458,2.979,0.689,,,4.082,,2.242,1.294,1.064,1.634,0.92,1.763,3.969,1.845,0.915,3.072,2.463,1.301,,1.774,1.245,2.182,0.518,2.289,1.555,,1.079,728465.0,592822.0
2007-04-01,208,2007,4,201.392,0.1339979365809363,83.6,81.0,3.73,1.104,0.517,1.541,2.857,0.651,,0.921,4.032,,2.322,1.28,1.115,1.616,0.888,1.957,3.794,1.791,0.986,3.135,2.517,1.243,,,1.283,2.352,0.529,1.717,1.63,,1.081,727452.0,592674.0
2007-05-01,207,2007,5,202.157,0.1895680574106279,87.0,79.2,3.739,1.112,0.503,1.412,3.058,0.61,,,3.976,,2.312,1.298,1.118,1.504,0.917,2.748,3.876,1.751,0.879,3.259,2.456,1.268,,,1.339,2.226,0.53,1.862,1.685,,1.146,731660.0,596983.0
2007-06-01,206,2007,6,202.977,0.2024021681715168,88.3,80.3,3.629,1.13,0.512,1.373,3.077,0.581,0.805,0.829,3.981,3.505,2.251,1.332,1.134,1.373,0.97,2.035,3.879,1.766,0.856,3.427,2.512,1.321,,1.714,1.327,2.219,0.538,1.781,1.51,,1.223,736229.0,601054.0
2007-07-01,205,2007,7,203.64,0.1630527006986876,90.6,79.8,3.757,1.184,0.509,1.475,3.064,0.586,0.778,,4.292,3.114,2.379,1.334,1.13,1.502,0.979,1.778,3.825,1.765,0.849,3.736,2.538,,1.078,1.45,,1.953,0.545,1.667,1.486,,1.222,741176.0,601220.0
