item,Item Price,date
"Chicken, fresh, whole, per lb. (453.6 gm)",1.988,2024-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.988,2024-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",2.007,2024-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",2.013,2024-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.953,2024-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.991,2024-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.951,2024-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.987,2024-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.955,2023-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.976,2023-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.926,2023-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.901,2023-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.958,2023-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.891,2023-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.953,2023-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.92,2023-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.873,2023-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.868,2023-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.894,2023-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.855,2023-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.83,2022-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.843,2022-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.863,2022-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.891,2022-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.879,2022-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.88,2022-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.826,2022-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.824,2022-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.794,2022-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.724,2022-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.632,2022-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.622,2022-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.606,2021-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.583,2021-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.523,2021-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.504,2021-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.472,2021-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.435,2021-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.474,2021-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.486,2021-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.515,2021-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.543,2021-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.583,2021-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.595,2021-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.621,2020-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.639,2020-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.58,2020-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.542,2020-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.609,2020-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.712,2020-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.747,2020-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.571,2020-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.4,2020-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.362,2020-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.409,2020-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.45,2019-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.43,2019-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.538,2019-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.487,2019-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.514,2019-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.562,2019-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.59,2019-06-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.479,2019-05-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.463,2019-04-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.468,2019-03-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.486,2019-02-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.473,2019-01-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.466,2018-12-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.501,2018-11-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.444,2018-10-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.487,2018-09-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.511,2018-08-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.519,2018-07-01
"Chicken, fresh, whole, per lb. (453.6 gm)",1.514,2018-06-01
