date,Food and beverages purchased for off-premises consumption,Food services and accommodations
2005-01-01,653299.0,515964.0
2005-02-01,655408.0,523076.0
2005-03-01,656803.0,521829.0
2005-04-01,664153.0,528354.0
2005-05-01,661961.0,529066.0
2005-06-01,666686.0,533154.0
2005-07-01,666327.0,534885.0
2005-08-01,670770.0,536289.0
2005-09-01,675462.0,538153.0
2005-10-01,680981.0,541910.0
2005-11-01,682274.0,550292.0
2005-12-01,684469.0,550618.0
2006-01-01,684928.0,565088.0
2006-02-01,691877.0,557894.0
2006-03-01,689719.0,562352.0
2006-04-01,692835.0,563501.0
2006-05-01,697154.0,564286.0
2006-06-01,696835.0,564675.0
2006-07-01,699727.0,564909.0
2006-08-01,703380.0,571554.0
2006-09-01,702119.0,577745.0
2006-10-01,712468.0,578728.0
2006-11-01,712369.0,582005.0
2006-12-01,719713.0,594462.0
2007-01-01,722608.0,588296.0
2007-02-01,725603.0,584693.0
2007-03-01,728465.0,592822.0
2007-04-01,727452.0,592674.0
2007-05-01,731660.0,596983.0
2007-06-01,736229.0,601054.0
2007-07-01,741176.0,601220.0
2007-08-01,738243.0,605920.0
2007-09-01,742185.0,606980.0
2007-10-01,745143.0,612485.0
2007-11-01,752038.0,612963.0
2007-12-01,757181.0,621888.0
2008-01-01,756998.0,616072.0
2008-02-01,755801.0,608551.0
2008-03-01,759185.0,615426.0
2008-04-01,767732.0,617960.0
2008-05-01,771155.0,622243.0
2008-06-01,773222.0,623640.0
2008-07-01,776085.0,623508.0
2008-08-01,776924.0,625755.0
2008-09-01,772809.0,623350.0
2008-10-01,773111.0,623196.0
2008-11-01,775055.0,621590.0
2008-12-01,770948.0,620534.0
2009-01-01,779308.0,618998.0
2009-02-01,770696.0,616884.0
2009-03-01,769841.0,608560.0
2009-04-01,770502.0,612653.0
2009-05-01,772486.0,611585.0
2009-06-01,770292.0,609479.0
2009-07-01,769849.0,611341.0
2009-08-01,770040.0,611971.0
2009-09-01,774053.0,609049.0
2009-10-01,775265.0,610648.0
2009-11-01,772497.0,614412.0
2009-12-01,780326.0,616678.0
2010-01-01,777271.0,615955.0
2010-02-01,791624.0,625227.0
2010-03-01,784553.0,627574.0
2010-04-01,785699.0,632226.0
2010-05-01,783664.0,633131.0
2010-06-01,780703.0,635076.0
2010-07-01,780927.0,637019.0
2010-08-01,785464.0,641796.0
2010-09-01,789636.0,642521.0
2010-10-01,789018.0,645360.0
2010-11-01,797616.0,647829.0
2010-12-01,796220.0,644335.0
2011-01-01,803303.0,645917.0
2011-02-01,807850.0,657272.0
2011-03-01,809253.0,660694.0
2011-04-01,818626.0,659495.0
2011-05-01,813520.0,666103.0
2011-06-01,820457.0,670018.0
2011-07-01,822161.0,672051.0
2011-08-01,825738.0,675568.0
2011-09-01,826003.0,681210.0
2011-10-01,829846.0,682051.0
2011-11-01,831103.0,683544.0
2011-12-01,826647.0,679653.0
2012-01-01,836689.0,689435.0
2012-02-01,837895.0,691936.0
2012-03-01,842812.0,694621.0
2012-04-01,845099.0,701185.0
2012-05-01,845548.0,699884.0
2012-06-01,845551.0,704063.0
2012-07-01,848081.0,706487.0
2012-08-01,845816.0,707355.0
2012-09-01,848204.0,712129.0
2012-10-01,853122.0,711563.0
2012-11-01,852252.0,717977.0
2012-12-01,853307.0,722498.0
2013-01-01,856964.0,729883.0
2013-02-01,865667.0,726724.0
2013-03-01,862750.0,728432.0
2013-04-01,858947.0,723647.0
2013-05-01,865474.0,725870.0
2013-06-01,866187.0,726144.0
2013-07-01,872152.0,730926.0
2013-08-01,873403.0,731942.0
2013-09-01,877305.0,732986.0
2013-10-01,877797.0,739267.0
2013-11-01,880886.0,748738.0
2013-12-01,888896.0,747224.0
2014-01-01,891285.0,743179.0
2014-02-01,893862.0,750866.0
2014-03-01,895567.0,759522.0
2014-04-01,899780.0,763768.0
2014-05-01,903958.0,769701.0
2014-06-01,911096.0,772839.0
2014-07-01,913133.0,778170.0
2014-08-01,917160.0,784920.0
2014-09-01,919027.0,789274.0
2014-10-01,924193.0,798888.0
2014-11-01,926284.0,798355.0
2014-12-01,929703.0,812248.0
2015-01-01,933258.0,815091.0
2015-02-01,935592.0,813630.0
2015-03-01,937865.0,820524.0
2015-04-01,934765.0,827958.0
2015-05-01,936165.0,831707.0
2015-06-01,940156.0,831045.0
2015-07-01,944955.0,833679.0
2015-08-01,944877.0,836512.0
2015-09-01,949881.0,840176.0
